epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2192.49,1.46524,0.90944,1.11145,0.76442,0.59266,0.69448,0.36058,1.52027,0.91646,1.09131,0.005842,0.005842,0.005842
44,2242.21,1.4667,0.91033,1.11197,0.76167,0.60666,0.69195,0.36105,1.50444,0.91352,1.09185,0.005743,0.005743,0.005743
45,2294.48,1.4557,0.89771,1.10444,0.77892,0.61701,0.71406,0.37296,1.4994,0.8955,1.08692,0.005644,0.005644,0.005644
46,2347.05,1.45534,0.9016,1.10782,0.77579,0.59545,0.69331,0.36272,1.51189,0.91713,1.09323,0.005545,0.005545,0.005545
47,2399.11,1.45255,0.89304,1.10257,0.77265,0.61069,0.70188,0.36605,1.49966,0.89258,1.08786,0.005446,0.005446,0.005446
48,2451.53,1.45586,0.89092,1.10596,0.75965,0.61362,0.69512,0.36537,1.49813,0.90285,1.08391,0.005347,0.005347,0.005347
49,2503.69,1.45432,0.89238,1.10654,0.77155,0.59141,0.6988,0.37142,1.47909,0.88651,1.07429,0.005248,0.005248,0.005248
50,2556.28,1.44796,0.88406,1.10204,0.79646,0.6091,0.70921,0.3727,1.49331,0.89204,1.0831,0.005149,0.005149,0.005149
51,2608.02,1.44252,0.88186,1.10248,0.78422,0.61482,0.70657,0.3686,1.4988,0.88458,1.08387,0.00505,0.00505,0.00505
52,2659.5,1.43836,0.87936,1.09655,0.79475,0.58842,0.69542,0.36694,1.49695,0.89744,1.07885,0.004951,0.004951,0.004951
53,2711.19,1.43485,0.87355,1.09511,0.77717,0.62206,0.7135,0.37512,1.48366,0.88141,1.07961,0.004852,0.004852,0.004852
54,2763.17,1.43,0.87091,1.09374,0.76848,0.62532,0.70941,0.37521,1.48695,0.87448,1.07957,0.004753,0.004753,0.004753
55,2814.65,1.43055,0.86645,1.09341,0.77124,0.61244,0.70455,0.37534,1.48025,0.88191,1.07791,0.004654,0.004654,0.004654
56,2865.89,1.424,0.8649,1.09032,0.78158,0.64081,0.72097,0.38051,1.47867,0.86907,1.07838,0.004555,0.004555,0.004555
